topic,sentiment
ve,0
want,0
shopping,0
good,1
order,1
shopping amazon,2
great,2
month oct,0
don,0
fix,1
just,0
prime,1
really,2
need,1
want,0
need,1
really,2
phone,2
use,0
just,2
things,2
good,1
great,1
good,2
way,1
search,0
delivery,1
want,2
just,0
service,0
service,2
delivery,0
orders,1
shopping,0
good,1
use,1
good,2
just,2
service,2
customer,0
need advisors information,1
want,0
use anymore bad,1
shop,2
page,1
good,1
things,1
prime,1
don,2
products,2
prime,0
time,0
shopping,2
day,1
buy,1
fix,1
product availability,2
account,1
amazon,0
ve,0
account,1
app,1
just,0
amazon,0
shopping,1
prime,1
need,2
items,1
items,0
search,1
use,0
items,2
app,0
amazon,1
time,0
amazon,2
products,2
easy,2
let use discount,2
change,1
shop whenver,2
want,0
want,1
want,0
items,1
don,2
easy,2
item,0
delivery,0
customer,0
phone,2
great,2
app,2
want,0
page,0
buy,2
don,0
orders,0
page,1
shopping,0
want,0
shopping,1
shopping,0
like,1
use,2
need,1
like,0
time,2
shipping shopping easy,2
use,1
2023,0
really,2
phone,2
don,1
things,1
like,2
account,0
phone,0
account,0
time,2
change,1
orders,0
don,1
ve,0
customer,0
order,0
prices,2
amazon,1
order worth,0
screening,2
good,2
orders,1
use,1
time,2
like,0
customer,0
update,1
change,1
items,0
amazon,2
shopping,1
account,0
customer,0
just,2
great,1
want,2
app,2
prime,0
shop,2
easy,2
amazon,0
fix,0
like,0
mess filtering options,1
time,0
order,1
iteams,2
great,2
prime,2
delivery,2
love amazon,2
time,1
need,1
delivery,2
don,1
someday,2
bar results,1
app,2
want,2
orders,1
love,2
returned warehouse explanation,2
easy,2
buy,2
order,0
items,2
app,1
customer,0
shopping amazon,2
delivery,0
things,2
fix,1
delivery,2
great,2
just,2
great,2
card,0
don,1
search,1
orders,0
items,1
day,1
change,1
fix,1
need,2
just,2
don,1
buy,2
hear convenient need,2
don,2
delivery,0
like,2
shop,2
phone,1
use,2
just,2
service,2
order,0
want,2
time,2
time,2
great,1
amazon,1
time,1
time,2
amazon,0
great,1
use,2
schooder help,2
delivery,1
don,2
power,1
time,0
shop,2
app,2
don,1
just,2
shopping,0
phone,0
agents,1
prime,0
amazon,0
great,1
update,0
prime,1
stuff,2
love,2
time,1
time,0
want,2
day,1
shopping,0
slowly works time,1
amazon,0
products,1
know missing packages,0
prime,0
items,1
great app good,2
service,2
use,2
amazon,2
good,1
orders,1
good,2
use,1
good,2
great,2
new star,0
customer,2
repeadly fine,1
great,2
issue app problem,2
just,2
easy,2
days,0
love amazon,2
quality leader,1
don,1
days,0
service,2
items,1
really,1
make mistake,2
shopping,1
just,2
update,1
change,1
don,2
fix,1
think offices,2
app,1
prime,1
prices,2
products real good,1
order,1
easy,2
took weeks process,0
spammed miss deliveries,0
shopping,1
app install version,2
items shipped usps,2
account,1
use,0
products,1
prime,0
items,1
good,2
ve,0
just,0
good,2
just,2
time,1
delivery,2
need,1
service,0
just got package,2
want,0
material thanks,2
great products,2
app,2
just,0
love,2
worked keeps closing,1
item quickly,2
items,0
orders,0
app,1
delivery,2
search,0
order,0
way,1
like,0
update,1
day,1
app,0
change,1
easy,2
delivery,1
item,0
love,2
time,1
amazon,1
app,1
orders,1
order,2
phone,2
prime,0
page,1
service,2
want,1
prime,2
disable alexa lately,1
search,1
items,0
need,2
delivery,0
shopping,2
delivery,1
new,0
items,1
items,2
just,2
don,1
things,1
phone,2
shopping,2
app,1
shopping,0
don,2
really,1
service,0
use,1
like,1
amazon,1
great,2
app,0
search,1
change,1
service,2
shop,2
amazon,2
days,0
just,1
things,2
order,2
service,2
don,0
prime,0
shop,2
good,1
prime,0
customer,0
time,2
just,0
page,1
app,0
amazon,1
friendly good,1
update,1
loading anymore,0
shopping,2
good,1
things,2
easy,2
really,1
item,0
orders,1
reason checking,1
phone,0
really,1
love,2
delivery,1
shopping,0
phone,0
great,1
getting stuck scrolling,2
amazon,1
newest update crashes,0
need,1
fix,0
love amazon,2
delivery,1
update,0
app,2
phone,1
amazon,0
love amazon,2
amazon,1
service,0
need,2
need,2
phone,1
easy,2
like,0
gloves apparent,0
support english language,1
enjoy app maybe,2
delivery,2
delivery,0
app,1
search,1
delivery,2
prime,2
good,2
page,0
money,0
amazon,1
don,0
shopping,0
shopping,2
need,2
use,0
great,2
prime,1
items,2
items,2
job customer service,2
customer,0
phone,0
want,0
page,0
blocks new update,0
good,2
want,1
amazon,0
customer,0
phone,1
cc bb,1
don,1
order,0
customer,0
service,0
app,0
want,1
prime,0
easy,2
great,2
time,0
service,2
keeps,0
order,0
order,2
delivery,2
shapes wanted,2
want,0
easy,2
phone,1
buy,2
really,2
like,1
don,1
items,1
update,1
buy,1
prime,1
orders,1
love amazon,2
app,2
account,1
locations,2
update,0
make,1
want,0
items,1
fix,0
like,2
make,1
service,2
delivery,0
ve,0
prime,1
fix,1
update,0
items,0
want,2
item,0
love amazon,2
shop,2
like,0
item,0
service,0
service,0
amazon,0
fix,1
use,1
orders,1
like,2
great customer service,2
amazon,2
amazon,1
love amazon,2
prices,2
want,0
hear convenient,2
don,0
interface,1
new update stalls,0
order,1
using didnt,1
like,2
just,2
need,2
amazon,0
use,2
don,2
order,0
fix,1
shopping amazon,2
order,0
prices,2
great,1
account,1
amazon,1
orders,0
love amazon,2
amazon,0
page,1
day,1
phone,0
use,0
time,2
order,0
things,2
prime,0
service,0
need room,2
use,0
app,0
ve,0
items,1
love amazon,2
like,2
phone switches,0
wrong end,2
orders,1
items,2
update,0
customer,0
want,0
orders,0
like,2
ve,0
app,2
delivery,1
way,1
update,0
update,1
amazon,1
really,2
app,2
like,2
amazon,0
app,0
want,1
like,1
just,1
app,0
love amazon,2
just,2
great,2
like,2
great,2
buy,1
delivery,1
like,1
use,0
use,1
app,2
update,1
shopping,2
service,0
new,0
ve,0
time,2
item,0
really,2
like,2
want,1
time,1
app,1
order,0
order,1
page,1
don,1
just,1
just,2
time,0
orders,1
new,0
price comparison easy,2
ve,0
service,0
delivery,0
mode enabled,1
order,0
change,1
amazon,1
easy,2
amazon,1
amazon,1
delivery,2
update,0
reveiw,2
app,2
update,0
delivery,0
good,1
order,1
just,0
customer,0
amazon,2
really,1
slow,2
hard navigate,0
easy,2
prime,0
founded bangladesh,2
order,1
love amazon,2
order,0
don,0
update,1
long just,1
buy,2
app,1
use,0
shopping,2
shopping amazon,2
fix,1
need,2
search,1
prices,2
search,0
use,0
items,0
good,2
days,0
order,1
like,0
search,1
phone,0
search,0
ve,0
keeps,0
like,0
buy,1
priced low high,1
customer,0
use,0
prime,1
years ago son,1
keeps,0
account,0
phone,1
customer service,2
card,0
shopping,1
great,2
products,2
great,2
prime,0
slow bad,1
shopping,2
need,1
shopping,0
order,2
just,0
app,1
love amazon,2
app,2
items good customer,0
prime,0
offensive app,0
want,0
delivery,0
page,1
buy,1
good,2
items,1
app,0
keeps,0
orders,1
card,0
really,2
products,2
phone,2
just,2
way,1
want,1
use,0
fix,1
update,0
time,1
rz rze www,1
order,2
customer,0
orders,0
wonderful easy,2
service,2
phone,1
good,2
easy,2
need,1
day,1
time,0
ve,0
just,1
just,1
phone,0
app,0
orders,0
don,1
good,1
card,0
like,2
delivery,2
shopping,0
love,2
money,0
use,1
items,2
keeps,0
app,2
things,2
search,0
time,2
need occasionally,2
time,0
just,2
impacted shop,2
amazon,1
keeps,0
just,1
account,0
orders,1
delivery,0
great works,0
search,1
push terminate amazon,1
customer,0
service,2
keeps,0
fix,1
prime,0
item,0
amazon,2
items,1
great,2
don,1
day,1
products,1
love amazon,2
delivery,0
shopping amazon,2
want,0
app,2
time,1
optional exactly,1
want,1
just,0
app,0
time,2
like,0
service,0
amazon,0
don,0
amazon,0
shopping,2
don,1
joined affiliate,2
products,1
great,2
fix,1
fix,1
service,0
just,0
customer,2
use,2
phone,1
really,1
want,0
search,0
really,2
customer,2
just,2
use,0
want,2
delivery,1
orders,0
use,1
days,0
great,2
just,0
service,2
days,0
need,2
phone,2
change,1
service,0
fix,1
page,0
page,0
search,0
honest fair,1
need,2
don,2
lots going,2
update,0
like,2
service,2
update,1
update,1
shopping,0
items,0
item,0
day,1
app keeps,1
items,1
great,2
app,1
good,2
good,1
want,1
app,0
prime,2
page,0
great app haven,2
love,2
search,0
item,0
don,2
like,2
app,0
just,0
products,2
shopping,2
search,1
prime,0
like,0
fix,1
don,2
update,0
use,1
want,0
like,1
great,2
prime,0
way,1
love,2
want,1
shopping,0
don,2
don,0
money,0
items,2
slow bad,1
like,2
update,1
search,0
needed functions use,1
time,0
shopping,2
good,2
galaxy,0
page,0
amazon,0
don,1
products,2
shop,2
just,2
use,0
need,1
prices,2
way,1
love amazon,2
item,0
app,0
delivery,1
search,0
orders,1
good,1
update,0
prime,0
update,0
app,0
use,2
prime,1
items,0
great,2
use,0
order,0
want,0
order,1
don,1
service,2
products,2
shopping,0
order,2
payment working charge,1
products,1
amazon,2
items,2
order,1
great,2
prime,2
amazon,1
shop,2
experience appreciate,2
orders,1
account,0
items,1
update,0
app,0
shopping,1
amazon,1
things,2
account,1
easy way getting,2
phone,0
don,0
want,0
card,0
shopping,1
buy,1
need,2
use,2
ve,0
items,0
prime,2
order,0
love amazon,2
phone,2
want,2
prime,0
want,1
use,1
items,1
app,1
time,2
month oct,0
shopping,2
need,1
amazon,1
way,1
items,2
phone,2
prices,2
phone,1
order,0
fix,1
app,2
service,2
prices,2
service,0
want,0
shopping,1
really,2
item,0
time,2
easy,2
shopping,0
shop,2
delivery,1
day,1
just,1
items,0
app,1
use,0
fix,1
search,1
love,2
don,2
lagging harder,2
account,1
search,0
items,1
customer,2
amazon,2
products,2
prices,2
just,2
need,2
days,0
prime,0
ve,0
just,0
order,2
order,1
products,2
good change alot,2
search,0
use,1
update,1
service,0
days,0
item,0
use,0
don,1
just,2
customer,2
money,0
easy,2
amazon,2
change,1
like,0
just,0
availability pakistan,1
amazon,0
buy,2
just,0
entire contents loading,0
products,1
things,2
don,2
service,2
just,2
add background,1
love amazon,2
delivery,0
glitchy app keeps,0
items,0
way,1
happened amazon love,2
like,0
phone,1
just,1
delivery,2
update,1
app,0
card,0
great,1
love,2
use,0
customer,2
delivery,2
don,2
search,0
prime,2
customer,0
account,1
day,1
time,0
phone,1
really,2
time,1
just,0
fix,1
amazon,2
items,0
service,0
good,1
customer,2
phone,0
want,1
items,0
change,1
items,2
amazon,1
order,2
want,0
order,1
love amazon,2
new,0
ve,0
lil improving,1
fix,0
search,0
just,0
page,1
customer,0
delivery,2
orders,1
prime,0
prime,0
really,1
page,0
order,2
new,0
use,0
want,0
buy,2
easy,2
account,0
update,1
search,1
mode white color,1
time,1
like,0
don,2
orders,0
money,0
want,2
customer,0
update,0
love,2
amazon,1
day,1
items,1
shop,2
app,2
amazon,2
time,1
good,2
prime,0
shop,2
good,2
way,1
locks shut,0
peeps lower,2
delivery,0
shop,2
want,0
items,1
like,2
order,1
phone,1
money,0
app,2
love amazon,2
items,2
life earnings clear,1
time,0
use,1
order,2
time,1
like,1
time,2
really,2
update,1
app,1
use,2
piss poor,0
just,1
service great app,2
days,0
time,2
orders,1
use,2
way,1
app,1
need,2
prime,0
update need,2
crashes umm,0
months ty remove,1
good,2
ve,0
time,1
need,1
love,2
price low,2
update,0
order,2
love amazon,2
amazon,1
shopping,1
shopping,2
prices,2
delivery,0
se,1
just,2
want,1
use,0
just,1
prime,2
want,2
buy,1
change,1
prime,2
phone,2
like,1
customer,2
use,0
app,1
amazon,1
buy,1
need,1
order,2
products,2
search,0
app,2
prime,1
products,2
items,1
shop,2
quality merchandise right,2
page,1
don,0
update,1
use,1
order,2
things,1
ve,0
amazon,2
phone,2
amazon,1
phone,0
love amazon,2
item,0
don,2
item,0
hate,1
loading,2
good,2
items,0
amazon,1
account,0
runs little slow,2
day,1
amazon,2
change,1
use,1
day,1
search,0
want,1
shopping amazon,2
things,1
orders received receive,0
page,0
easy,2
easy,2
update,0
like,1
navigation bad,2
easy,2
love,2
perfect agree,0
good,2
great,2
online way,2
search,1
think offices tomorrow,2
great,1
app,2
days,0
want,0
use,2
use,0
amazon,1
keeps knocking,0
just,1
recent,0
customer,0
amazon,1
really,2
order,0
great,2
mean doesn like,2
original query,1
items,0
need,2
delivery,0
update,1
account,0
app keeps,1
love,2
worked perfect,0
card,0
good,1
fix free,0
amazon,2
products awful,0
shopping nearly,2
shopping,1
piss poor app,0
don,2
items,0
like,1
like,0
easy,2
order,0
rated think,2
great,2
cc,1
items,2
blocks new,0
orders,0
like,2
love,2
really,2
shopping,0
orders,0
great,1
easy,2
delivery,2
use,0
fix,1
like,0
fix,1
prime,1
delivery,0
love amazon,2
update,0
page,0
shopping amazon,2
delivery,1
dissatisfied customer,1
delivery,0
shopping amazon,2
app,0
service,2
use,1
prime,2
reason checking lists,1
orders,0
service,2
doesn work,0
just,1
just,1
love,2
prices,2
items,2
buy,2
offer products,2
prime,0
order,0
really,2
order,1
app,0
search,1
easy,2
use,0
payment lies,0
don,2
just,1
fix,1
just,2
service,0
order,1
like,1
fha won allow,0
make right let,2
items,0
fix,1
orders,1
amazon,2
items,2
don,1
don,2
use,1
products,1
easy,2
love amazon,2
day,1
just,1
fix,1
orders,1
love amazon,2
easy,2
want,1
navigation bad,2
delivery,1
items,2
account,1
phone,0
update,0
like,1
app,1
amazon,1
shop,2
amazon,0
shortcut,2
order,0
want,2
customer,0
quite deliveries,1
item,0
septic close,0
change,1
don,0
want,2
card,0
prime,0
love amazon,2
need,2
order,0
fix,0
shopping,1
don,1
like,0
want,0
amazon,0
don,1
time,0
somebody going,1
don,0
wanted use having,1
phone,0
page,1
good,1
love,2
time,1
really,1
orders,1
item,0
phone,0
use,0
want,2
use,2
good,1
customer,0
like,2
shopping amazon,2
buy,1
order,0
shopping,2
really,2
amazon tablets app,2
time,2
customer,0
like,2
pleasant experience,2
time need close,1
good,1
time,0
search,1
ordered wrong item,1
prime,1
prime,2
amazon,2
amazon,0
app,0
loads stops,1
fixed shipping gotten,0
good,1
ve,0
app,2
keeps,0
orders,0
service,0
app,0
days,0
want,1
don,1
love,2
prime,2
love amazon,2
shopping,1
app,0
just,2
don,1
don,1
page,1
search,0
app,1
day,1
phone,0
orders,0
account,0
need,2
like,2
amazon,2
account,1
phone,1
fix,1
update,1
s23 ultra phone,0
use,1
time,2
like,1
orders,0
love,2
phone,1
delivery,1
item,0
service,2
like,1
days,0
don,2
shopping app design,2
don,2
prime,2
phone,0
don,2
items,0
items,0
orders,1
fix,1
don,2
prices bought,2
free shopping,2
just,2
shopping,1
amazon,2
good enjoy shopping,2
phone,0
card,0
orders,0
delivery,1
products,1
don,2
prime,0
don,2
use,2
products,1
like,0
update,1
account,0
don,2
don,2
account,0
service,0
time,2
amazon,2
quite bit probably,0
order,1
phone,1
item,0
item,0
good,1
things,2
love,2
items,2
prime,2
customer,0
fix,1
app,2
don,0
amazon,0
like,0
want,1
time,0
need,2
shopping,0
order,2
great,1
want,0
time,2
item,0
amazon,1
used,0
days,0
till,1
items,1
don want prime,0
items,2
time,1
need,1
love need great,2
good,2
shopping,0
items,0
delivery,1
page,1
like,2
use,2
delivery,1
page,1
need,1
time,2
page,1
great,2
orders,1
phone,1
prime,2
good,2
products late,0
easy,2
don,1
like,0
service,0
products,1
phone,0
just,2
tat,1
item,0
items,2
order,2
item,0
app,0
fix,1
oh,1
don,2
use,0
search,0
time,1
order,2
search,1
99 gloves apparent,0
order,1
don,1
orders,0
shop,2
just,2
app,0
just,0
love,2
phone,0
shopping,2
great products,2
love,2
update,0
need,2
items,2
whenver ready wrap,2
just,0
previous version zero,0
update,0
just,2
service,0
shopping,1
delivery,0
time,2
update,0
service,2
amazon,2
really,2
just,1
use,2
shopping,2
shopping,2
need,2
search,1
order,2
things,2
amazon,0
need,1
things,2
shop,2
love amazon,2
just,2
time,0
great,1
love,2
day,1
phone,1
money,0
amazon,0
app,1
amazon make positive,2
time,0
shop whenver ready,2
search,0
app,2
don,2
wanted,2
item,0
change,1
service,2
time,1
use,0
search,1
time,0
man web,0
fix,0
things,1
ve,0
shop,2
just,1
delivery,0
amazon,0
things ordered permission,1
delivery,2
update,0
use,1
products,1
time,0
want,2
use,1
time,0
buy,1
order,1
service,0
things,1
days,0
great,1
order,0
like,0
delivery,1
just,0
want,1
things,1
ve,0
time,0
change,1
money,0
shopping,1
want,1
app,1
day,1
search,0
don,0
update,0
search,1
delivery,2
need,1
day,1
update,0
love amazon,2
amazon,1
delivery,2
ve,0
great,1
easy,2
shopping amazon,2
time,1
days,0
great,1
want,1
like,0
just,1
service,0
good,2
good,2
item,0
prime,1
search,0
app purchasing item,2
shop,2
phone,2
just,0
use,0
want,2
orders,0
service,0
way,1
use,1
delivery,1
accessibility fantastic fast,2
update,0
item looking,2
ve,0
like,0
ve ordered update,0
shopping,0
customer,0
good,2
really,2
update,1
prime,1
customer,2
need,2
phone,1
app,1
don,1
delivery,1
just,2
shopping,1
update,1
page,0
ve,0
delivery,2
don,0
love amazon,2
like,2
amazon,2
day,1
want,2
easy,2
orders,1
search,0
app,1
account,0
search,0
app,0
think right,2
order,0
app,0
deals easy,2
account,0
items,1
like,1
want,2
card,0
way,1
customer,0
fix,0
phone,0
easy,2
really,1
amazon,2
app,1
order,2
time,2
service,0
ve,0
change,1
item,0
phone,2
amazon,1
time,1
moment hold,2
time,1
want,0
orders,0
shopping,0
great,2
phone,0
just,1
make,1
items,1
properly lately,2
customer,0
delivery,1
love,2
amazon,0
item,0
phone,1
great,1
use,2
prime,1
orders,0
buy,2
order,0
shopping,0
just,2
products,2
change,1
delivery,2
update,0
want,0
amazon,0
search,1
just,2
don,0
good,2
things,2
love amazon,2
delivery,1
phone,1
want,0
search,0
want,0
products,2
app,1
want,1
app,2
time,2
use,2
like,0
app,1
shopping amazon,2
need,1
account,0
day,1
items,2
don,2
don,0
customer service,2
amazon,0
service,2
need,2
service,0
customer,0
don,2
shopping,0
delivery,0
app,0
amazon,0
bar,1
use,2
like filters,1
make,1
easy,2
add usa,2
like,2
customer,0
app,1
prime,2
amazon,1
prime,2
page,1
use,2
phone,1
great,1
ve good experiences,2
days,0
want,1
shopping,1
shopping,2
just,2
item,0
buy,2
orders,0
want,2
need,1
good,1
items,2
really,2
just,1
want,0
good,1
want,1
service,0
account,1
quick good good,2
prime,2
update,1
great,1
constant,2
order,1
like,0
prime,2
days,0
page,0
new,0
amazon,1
order,2
love,2
use,1
prime,2
item,0
service,2
app,0
love amazon,2
prime,2
like,2
easy,2
delivery,1
view poor,1
delivery,1
don,2
like,0
service,2
great,2
issue amazon issue,1
don,0
phone,1
need,1
shopping,2
use,1
longer supported,2
shopping,0
phone,2
update,1
time,0
service,0
shopping,0
orders,1
love,2
quickly want,2
prime,0
items,0
page,0
order,1
time,2
twice say,0
going hard,0
shop,2
just,2
great,2
love amazon,2
use,2
prime,1
update,0
items,0
delivery,0
shopping,0
did option arrive,0
items,1
phone,0
prices,2
shop,2
shopping,2
shopping amazon,2
search,0
want,1
app,1
order,1
returns,2
items,2
orders,0
customer,0
delivery,2
delivery,1
products clothing poor,1
use,0
day,1
prime,2
item,0
customer,0
things,2
time,0
service,2
shop,2
items,2
delivery,2
use,1
app,2
love,2
need,2
use,0
phone,0
shopping,0
things,2
app,0
app,2
account,1
delivery,1
good,1
search,0
itis rejecting,2
easy,2
amazon,2
buy,2
shopping,1
negotiate google buy,2
shopping amazon,2
prices,2
use,2
longer,2
phone,2
amazon,1
phone,0
shopping,0
best shop world,2
time,0
prime,2
love,2
menus great,2
like,2
card,0
inconsistent delivery products,1
like,2
delivery,0
card,0
customer,2
don,1
just,1
new,0
need,1
prime,1
love,2
keeps,0
use,1
garbage works,0
phone,0
easy return merchandise,2
fix,1
delivery,1
update,0
customer,2
good,2
handful,2
prime,0
service,2
delivery,1
customer,2
items,1
items,1
items,1
service,0
need,1
great,1
delivery,1
app,0
amazon,1
orders,0
item,0
great,2
use,1
update,1
just,0
shopping,1
days,0
fix,1
shopping,0
ve,0
item,0
page,1
products,1
love little bit,2
day,1
just,2
app,0
shopping,1
bad delivery just,2
just,2
use,2
shopping amazon,2
order,1
don,2
card,0
orders,0
want,2
good,2
amazon,0
phone,2
page,0
need,1
things,1
use,2
did add list,1
curious allowed philippines,1
wonderful easy pie,2
amazon,2
delivery,2
fix,1
items,0
use,0
account,1
just,2
amazon,2
prime,0
shopping,1
need,1
item,0
phone,0
buy,1
fix,1
batterys,2
update,1
like,1
time,2
like,1
time,0
good,1
delivery,0
shop,2
don,1
item,0
order,0
delivery,0
time,2
good,1
account,0
time,2
app,1
service,2
amazon,0
like,2
way,1
prime,2
items,2
want,0
great,1
ve,0
easy,2
update,0
need,1
account,0
really,2
amazon,2
change,1
need,2
great,2
days,0
days,0
like,0
phone,0
orders,1
phone,0
app,0
ve,0
delivery,1
order,0
account,1
make,1
prime,1
just,2
update,1
want,0
items,1
shopping,0
need,1
day,1
items,0
page,0
app,1
orders,0
service,0
don,2
don,0
orders,0
search,1
great,2
days,0
want,2
need,2
don,1
customer,0
want,0
want,2
deals page doesn,0
prime,2
way,1
search,1
like,1
use,1
reliable affordable,2
things,2
prime,0
orders,1
making app worse,0
items,2
fix,1
good,2
things,2
orders,1
easy,2
customer,2
time,2
items,1
order,1
amazon,0
days,0
use,0
really,2
just,2
app,0
love,2
account,0
time,2
card balance subscriptions,0
time,2
make,1
seriously did,1
spammed miss,0
order,1
like,0
instructions package stolen,0
amazon,0
order,0
time,1
prime,2
need,2
ve,0
amazon,2
delivery,2
need,1
order,1
just,1
order,1
update resolved,2
amazon,0
delivery,1
prime,0
amazon,0
update,1
prime,2
great,1
customer,0
love amazon,2
new updte know,2
delivery,2
like,2
amazon,1
change,1
like,2
great works half,0
prices competitors,0
time,2
orders,0
don,1
delivery,2
change,1
want,0
like,1
great,1
order,0
easy,2
kindle books scroll,0
order,2
iersion human gallantly,1
prime,1
orders,0
items,2
keeps,0
page,0
just,1
make,1
delivery,0
good,2
looking looking couldn,2
just,0
just,1
app,2
delivery,2
knocking long time,0
great,1
believe hate,1
time,0
customer,2
page,1
don,2
use,0
ve,0
service,2
buy,2
make,1
like,2
love amazon,2
items,1
don,2
shopping,1
love isn perfect,2
really,2
prime,0
phone,1
products,1
love amazon,2
amazon,0
phone,0
like,0
need,1
app,2
need,2
day,1
shopping,1
support works needed,2
item,0
items,0
shopping,2
prime,1
delivery,2
search,1
card,0
like,0
love,2
love amazon,2
card,0
prices,2
phone,0
shopping,2
money,0
items,2
search,1
customer,2
app,2
customer,0
really,1
amazon,2
ve,0
update,1
change,1
shopping,2
service,2
need,1
app,1
days,0
app,0
use,2
search,1
need,2
orders,0
just,2
menus great easy,2
easy,2
delivery,0
shipping great,2
stores getting lot,2
change,1
prices,2
hear convenient need,2
great,2
delivery,0
order,1
service,2
prices,2
service,0
amazon,2
page,1
zionist,0
great,1
item,0
great,1
like,0
delivery,2
great,2
don,1
ve,0
days,0
really,2
shop,2
interested allow,1
ve,0
account,0
service,0
like,0
oppression terrorism,0
app,1
need,1
order,2
prime,1
page,1
amazon,1
don,0
update,0
time,2
ve,0
easy,2
guide 99 gloves,0
like,0
want,0
orders,0
make,1
prime,2
page,0
high buggy slow,1
stars option,2
end,2
customer,2
delivery,1
search,1
phone,1
page,1
great,1
service,2
things,1
search,1
just,2
need,2
good,2
really,2
amazon,2
update,0
app,1
update,1
items,1
things,1
time,1
prime,1
app,2
time,2
order worth trouble,0
ve,0
fix,1
shopping,0
keeps,0
items,0
search,0
just,2
just,2
just,2
amazon,0
great,1
keeps,0
items,1
orders,0
use,2
items,1
don,1
amazon,2
days,0
good,1
search,0
buy,2
use,1
great,2
items,2
good,1
search,1
page,0
time,1
want,1
great,2
fast helpful,2
better,0
amazon,1
loading slowly,1
delivery,1
just,1
like,2
just,1
prices,2
want,1
amazon,2
amazon,0
app,2
want,1
buy,2
phone,0
love amazon,2
prices,2
phone,1
customer,0
amazon,1
results come,1
service,0
easy,2
service,0
search,1
good,2
items,2
items,2
just,1
good,2
fix,0
changes constant buffering,0
products,1
time,1
days,0
phone,1
day,1
time,2
order,0
page,1
responding update,0
phone,2
order,2
things,1
prime,2
use,0
shopping amazon,2
page,1
order,0
delivery,0
just,2
fix,1
shopping,1
time,0
page,1
use,0
prime,0
need,2
just,2
love amazon,2
items,0
use,0
fix,0
love amazon,2
don,2
prime,2
good,1
ve,0
items,0
prime,1
like,2
delivery,0
use,1
use,0
order,1
want,1
love,2
order,0
sakta hay,2
page,0
need,2
shop,2
service,0
orders,0
pretty darn good,2
prime,0
delivery,2
app,2
prime,1
things,1
prime,2
great,1
use,0
prime,2
orders,0
app,2
just,0
time,0
time,1
item,0
like,0
new,0
good,2
customer,0
phone,0
amazon,0
use,0
things,2
amazon,0
good,1
order,2
prime,1
prime,1
phone,1
orders,0
good,2
order,2
update,0
time,1
time,0
orders,0
items,0
like,0
money,0
don,0
make,1
don,1
great,1
days,0
account,1
like,1
service,0
love amazon,2
prime,0
really,2
time,0
update,0
need,1
want,2
items,2
like,0
shopping,0
buy,2
account,1
service,2
shopping,0
bad,2
update,1
items,0
order,0
pain getting,1
use,1
update,1
good,2
make,1
order,1
just,0
items,1
need,2
careful vendor,2
delivery,2
don looking looking,2
phone,0
app terrible,0
order,1
customer,0
prices deluding,0
shopping amazon,2
amazon,2
orders,1
prices,2
update,0
time,2
like,2
love,2
delivery,0
items,0
page,0
search,1
service,0
phone,1
forward seeing new,2
love amazon,2
fix,1
prime,0
time,1
use,0
buy,1
shopping,0
shopping,0
app,1
pay 12 month,1
time,0
great,2
app,2
amazon,0
just,1
need,2
like,0
ve,0
just,1
great,1
love amazon,2
like,1
want,2
ve,0
want,0
update,1
amazon,0
poor quality long,0
easy,2
order,0
amazon,0
service,0
prices,2
page,1
