level_0,index,Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,lengthContent,Language,scoreSA,topics
2233,,,15424,,,when you are busy and on the go they tend to have amazon shopping available at your convenience! how else can you sell out if there is a lower price on amazon vs any store you were shopping for now? i compare prices and selection of thousands of items a year so it has saved me points every time. thrifty is necessary these days and amazon is an ideal reference to insure you get that bargain whether it's online or at the retailer near you... you can'however lose by comparing! thanks amazon,5,,,,,,,2,492,,4,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
1808,,,11403,,,students love that i don't have to leave the house except handle essential groceries but shop in person the store is reliable and i feel their love and job,5,,,,,,,2,155,,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
2167,,,11810,,,if bezos related to that can make it 5 star ez lol. works. could be bit miss.. but i feel ya.. not real way.. maybe like a smartphone application of the app with email based shopping.,4,,,,,,,2,183,,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
607,,,18242,,,you love that some things were free shipping! so do not believe the ther and not your class of kids girls 9 - 12 sandals.,4,,,,,,,2,121,,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
15915,16476.0,23397.0,22925,Colm McGroarty,https://play-lh.googleusercontent.com/a/ACg8ocJ8PZXqrzGFRMZDO9Ywil7m3jhkQDWywxT7hbHWaGT9=mo,"Excellent service, especially to where I live, in a beautiful village but remote part, of Northern Ireland. Thank you. Colm.",4,0.0,24.12.6.100,2022-06-30 16:29:13,,,24.12.6.100,2,124,en,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
8315,8607.0,12911.0,110,Patrick Van Rinsvelt,https://play-lh.googleusercontent.com/a-/ALV-UjVDNVMFhGvxCQQjvOMQoyhLpNp4yCFDYAshzR0LogZX0OO8,"Always great to deal with Amazon. I had the Prime service without knowing it. Once I found the chat session, the CS person had a refund processed within 10 minutes. Minus, of course, 1 order I placed. Can't get much more fair than that. Excellent service, quick, and fuss free.",5,2.0,26.17.2.100,2023-10-02 23:32:21,,,26.17.2.100,2,277,en,4,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
1608,,,233,,,pull the search bar over. we hate rats.,4,,,,,,,2,39,,3,"['bar hate', 'search bar hate', 'search bar', 'search bar search', 'bar', 'bar search', 'search', 'moved search', 'moved', 'stars thankfully', 'thankfully search', 'thankfully search bar', 'stars thankfully search', 'warrant', 'search stars', 'search stars thankfully', 'search warrant search', 'search warrant', 'rats moved search', 'warrant search', 'warrant search bar', 'pull search bar', 'bar hate rats', 'bar moved search', 'bar search warrant']"
1909,,,598,,,"so always he order ordered, so ask only to order in which order didn't what was advertised",4,,,,,,,2,90,,3,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
10645,11022.0,16100.0,8511,Littlemsp D,https://play-lh.googleusercontent.com/a-/ALV-UjUKfeVbS7WxbAko_XyiC4MJOhirskC6dmRhmglCD1T3a6E,"I simple love this app, easy to use and user friendly. Though sometimes it's hard to access my orders it's still a great app.",4,0.0,26.12.0.100,2023-06-11 22:21:47,,,26.12.0.100,2,125,en,3,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
2465,,,8189,,,i'd rather give for my shopping thing before i rate that,4,,,,,,,2,56,,3,"['using ebay like', 'amazon stopped using', 'better shipment', 'using amazon stopped', 'better shipment charges', 'thing rate nice', 'like better shipment', 'ebay like better', 'like better', 'stopped using ebay', 'stopped using', 'rate nice', 'nice started using', 'nice started', 'shipment charges', 'using ebay', 'rate nice started', 'thing rate', 'shopping thing rate', 'shopping thing', 'started using amazon', 'amazon stopped', 'ebay like', 'started using', 'shipment']"
14352,14854.0,20958.0,10212,Hunter Richardson,https://play-lh.googleusercontent.com/a-/ALV-UjWNJgUXlQxlQeyZrd2eCAHkzG4q9cy6IR-Tt7PWqZ3jVG_h,"My only complaint is that it doesn't multitask well. If I navigate to a wishlist or product review, then open another app, the app will refresh to its homepage when I come back.",4,3.0,24.14.0.100,2022-10-16 01:29:03,,,24.14.0.100,2,177,en,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
10978,11365.0,16494.0,12065,Lacell Freeman,https://play-lh.googleusercontent.com/a/ACg8ocKYE2R9FmwLyaUyvkNATXfeIaNjQKQGRz9gBulk2-ROpw=mo,need to buy anything go to Amazon ship right to your house! I love it!😍😍😍,4,0.0,26.10.4.100,2023-05-30 19:58:13,,,26.10.4.100,2,73,en,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
11874,12297.0,17671.0,2577,sheila saez,https://play-lh.googleusercontent.com/a/ACg8ocLw23lSTyit2eawxuY9hkvy5yEoGErtL2XbTLXVDLx6=mo,"So far Amazon have been great to deal with, their service is the best, can't fault it. I would recomend anyone to shop with them.",4,0.0,26.6.2.100,2023-03-30 14:14:40,,,26.6.2.100,2,129,en,3,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
2003,,,15487,,,i must get my assignments and his mess looks good! thanks ma!,5,,,,,,,2,61,,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
715,734.0,1115.0,14315,Vincent Rodriguez,https://play-lh.googleusercontent.com/a-/ALV-UjVaRU_7r6GFSC7owr3FxeVp6JJg_PaqzWt3FkM8l9CmXnBs,Amazon is simply the best and easiest way to buy things. Being a prime member brings a level of comfort and confidence knowing I don't have to worry about shipping costs or have return problems. Amazon is trying a must have in life.,5,1.0,26.23.4.100,2023-12-31 17:42:53,,,26.23.4.100,2,232,en,4,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
4494,4673.0,6816.0,986,Lydia Guerra,https://play-lh.googleusercontent.com/a-/ALV-UjXiJSwN4TXALT9b1UY85mUvMCXOXe96Jq39t8KZmMxwClFs,"Love it, very easy to order, and I never miss a delivery.",5,0.0,26.22.0.100,2023-11-20 06:32:43,,,26.22.0.100,2,57,en,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
2139,2212.0,3241.0,5658,NJ P,https://play-lh.googleusercontent.com/a-/ALV-UjWZj5TzCHy__i4jjJqHL-HcrW5upYG270rF5znH15AFdYb_,"I love it, there is a lot of variety, the prices are fair and the delivery is fast.",5,0.0,26.23.0.100,2023-12-15 13:09:54,,,26.23.0.100,2,83,en,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
15703,16260.0,23064.0,3054,Patrick Bahlmann,https://play-lh.googleusercontent.com/a-/ALV-UjV2sMLHKT5lB2vEy21goEJyN2kjg4AZ7NhlH6Mh4tb4bxA,"Have yet to get anything from here, sure they're reputable, but they're in kahoots with PAYPAL...When in Rome AKA Vegas slots or Casino slots. JUST TRYand CASH OUT!! Ha Ha freakin HA!!",4,0.0,,2022-07-17 04:39:04,,,,2,184,en,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
7596,7873.0,11585.0,23289,Agnieszka Babinska,https://play-lh.googleusercontent.com/a-/ALV-UjVcf11Ciwys3WPsvXJoZxRxoABJSekbjxAxumFKK04qrUo,You can just buy and it is cheap,5,0.0,,2023-10-22 16:38:32,,,,2,32,en,4,"['buy cheap easy', 'buy cheap', 'easy read humans', 'easy way getting', 'cheap easy read', 'humans looking', 'looking easy way', 'read humans', 'read humans looking', 'way getting', 'just buy cheap', 'way getting things', 'humans looking easy', 'cheap easy', 'just buy', 'easy read', 'humans', 'looking easy', 'getting things', 'easy way', 'cheap', 'read', 'getting', 'looking', 'easy']"
7899,8183.0,12164.0,4197,Siana Hasley,https://play-lh.googleusercontent.com/a/ACg8ocIjSAvuE6cPQlMniBspXxkNcz4SkvvJJgnuVLBVZzw-=mo,you have to be very careful about checking reviews so you aren't being duped into purchasing an item that the reviews aren't even about. many people find this very frustrating but it seems to be getting better.,4,0.0,26.14.2.100,2023-10-13 18:22:04,,,26.14.2.100,2,210,en,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
7866,8148.0,12108.0,21550,Timothy Fielder,https://play-lh.googleusercontent.com/a/ACg8ocJ06p67Da_dk2OhGHHx0I-o5zjyIAvFcsjqviG053ckow=mo,Exceptional!!!! Far Superior to all.,5,0.0,26.19.4.100,2023-10-14 18:14:58,,,26.19.4.100,2,36,en,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
627,,,14629,,,"perfect to perfect. see you all you need to miss health classes, and oh my!",5,,,,,,,2,75,,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
10719,11097.0,16182.0,5999,Stephanie Harris,https://play-lh.googleusercontent.com/a/ACg8ocIl56taSPHz9GpudL54cAcXiRCIQNt1R-FADnFZtf7D=mo,"This app has made shopping so easy altho, one time I ordered something and did not get my order. So therefore I wasted like 50.00 dollars. But it is really easy to find what I want for cheap prices. Overall a 7/10 I would recommend if you like *window-shopping*",4,0.0,24.21.4.100,2023-06-10 13:21:34,,,24.21.4.100,2,261,en,3,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
5398,5622.0,8377.0,3299,Gloria Schmidt,https://play-lh.googleusercontent.com/a/ACg8ocISb6Cx48bI-Bu6lkQCTUfzbjv587ATU_T2j9wwAk3t=mo,"It's pretty good but needs a few improvements like enabling customers to share items with others via text and emails, which would help increase sellers sales,which it's a win-win. ;)",4,4.0,26.21.0.100,2023-11-10 13:17:36,,,26.21.0.100,2,182,en,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
1809,,,18470,,,"when started at the list of items across the search tank, you're shown the picture of the most expensive item tied to the listing, but using only the least expensive price. now when you click into it, you then see that information for 2 separate items were lost just to cause you to click out the box.",4,,,,,,,2,301,,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
7206,7470.0,10859.0,23258,Paul Levesque,https://play-lh.googleusercontent.com/a/ACg8ocKiawHUlBnx0-5gGUuc8RNvrOKm3Dw-qcCkclH6NcFp=mo,"great service, always made satisfied if issues pop up",5,0.0,26.21.0.100,2023-11-02 16:24:48,,,26.21.0.100,2,53,en,4,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
1019,,,7869,,,"the exchange of notes about everything, but, watch the prices. prime is really the price to go tho. i enjoy window shopping and comparing orders, so i bet alot of time learning price estimation. it really might be an enjoyable game.",4,,,,,,,2,232,,3,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
234,,,23187,,,...!! can you please create our golden theam for walking around. its looks bright when full at night.,5,,,,,,,2,101,,4,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
13525,14007.0,19863.0,4764,Shelly,https://play-lh.googleusercontent.com/a-/ALV-UjUaR358mfy7_UYZQeMj96Mi6IKScBQCxWUQJzVazqIZhOU,Okay app. But the search doesn't do it for me. It's hard to locate the right products.,4,0.0,24.21.4.100,2022-12-04 20:47:32,,,24.21.4.100,2,86,en,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
6235,6491.0,9621.0,19171,Mehak Quershi,https://play-lh.googleusercontent.com/a/ACg8ocIKD_qumM77lxR24xcK-bUIct892sDv5uqR8QUOlJrT=mo,It's very great app Amazon is very interesting app,5,0.0,,2023-11-06 14:41:56,,,,2,50,en,4,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
1580,,,5534,,,that is my app for me...,4,,,,,,,2,24,,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
4906,5106.0,7511.0,9684,ana gomes,https://play-lh.googleusercontent.com/a-/ALV-UjUrwe9635FduClkw0T-J0qtfuVirlvVixkgHCpSaE-T9THy,"Amazon shopping is best stores I buy most everything, I love it 😀 😍 ☺️",5,0.0,26.21.0.100,2023-11-16 06:29:12,,,26.21.0.100,2,70,en,4,"['unk unk home', 'unk home plain', 'best stores', 'home plain', 'buy love love', 'best stores buy', 'home plain beautiful', 'stores buy', 'stores buy love', 'plain beautiful', 'shopping best stores', 'shopping unk unk', 'love love shopping', 'unk home', 'love shopping unk', 'shopping unk', 'buy love', 'amazon shopping best', 'plain', 'shopping best', 'unk unk', 'beautiful', 'unk', 'love love', 'stores']"
2550,,,18291,,,still quite easy as the first but still amazingly good.,4,,,,,,,2,55,,3,"['glitchy', 'works nice lot', 'loading menus great', 'loading menus', 'menus great good', 'menus great', 'needs protection', 'needs protection works', 'nice lot', 'kinda glitchy usable', 'kinda glitchy', 'nice lot security', 'great good needs', 'little slow loading', 'overall good deal', 'protection works', 'protection works nice', 'good needs protection', 'good does bugs', 'quite easy amazingly', 'good deal easy', 'good little slow', 'security checks', 'security checks kinda', 'lot security']"
9293,9618.0,14344.0,23850,namoradadojungkook 21,https://play-lh.googleusercontent.com/a/ACg8ocKZ8n4JsUcNvHJtOaldaLjW6QNQOqnXZXUtQMpDxrmB=mo,This app is nice and more better!!,4,0.0,,2023-08-11 20:58:01,,,,2,34,en,3,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
1267,,,4081,,,"good user experience, especially about prime membership. to be the best internet service i've ever offered.",5,,,,,,,2,107,,4,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
1256,,,22573,,,"great generosity, never at expense!",4,,,,,,,2,35,,3,"['app', 'amazon', 'love', 'great', 'need', 'good', 'shopping', 'easy', 'time', 'like', 'just', 'items', 'order', 'use', 'want', 'really', 'service', 'delivery', 'things', 'don', 'shop', 'products', 'search', 'fast', 'prime']"
8207,8494.0,12719.0,3443,Christopher Pagnini,https://play-lh.googleusercontent.com/a-/ALV-UjWX3Vnb1VPDT65dRai9z6fO62Uq70UsYIAW1hzrrXZYU1Y,Easy to use! Same day delivery is great!,5,0.0,26.18.4.100,2023-10-06 11:20:22,,,26.18.4.100,2,40,en,4,"['amazon', 'app', 'shopping', 'love', 'great', 'like', 'good', 'delivery', 'time', 'just', 'use', 'items', 'prime', 'easy', 'don', 'service', 'order', 'buy', 'prices', 'love amazon', 'things', 'shop', 've', 'day', 'really']"
